Si;Fe;CaO;SiO2;MgO;Al2O3;MnO;P2O5;S;basicity;FeOn;FeOn_t;CaO_t;SiO2_t
8390;20,36457;45,17819;12,92157;5,10062;0,91228;2,6737;1,88482;0,05048;3,49634;29,5286265;33,69755815;51,55656951;14,74587233
7880;21,53802;44,3703;12,40504;4,71916;0,83132;2,61287;1,80548;0,05668;3,5768;31,230129;35,48657754;50,41766211;14,09576034
4030;19,11335;46,91312;13,80534;5,04989;0,98246;2,55655;1,88283;0,04989;3,39819;27,7143575;31,33944873;53,04944626;15,61110501
3700;19,03392;45,15744;13,07461;4,8622;0,91422;2,54956;1,77382;0,04394;3,45383;27,599184;32,15517559;52,6118965;15,23292791
10890;23,44247;46,78335;10,68216;5,36704;0,91546;2,76332;2,05246;0,05912;4,37958;33,9915815;37,16669855;51,15333238;11,67996907
5090;26,6662;42,34393;11,70232;5,907;0,76435;2,98628;2,12588;0,0502;3,61842;38,66599;41,70537784;45,67242686;12,6221953
6630;23,85731;45,28616;10,26523;5,39577;0,70777;2,65794;1,79828;0,04923;4,41161;34,5930995;38,37516823;50,23730264;11,38752913
6260;23,87748;45,05286;10,25389;5,40841;0,64393;2,65556;1,81325;0,0476;4,39373;34,622346;38,49960418;50,09820181;11,40219401
6770;26,34918;42,00907;11,40181;5,32983;0,57396;2,6486;1,72651;0,04612;3,68442;38,206311;41,70212007;45,85282472;12,44505521
2270;27,60351;41,81019;10,08565;5,04846;0,54329;3,0658;2,05989;0,04849;4,14551;40,0250895;43,54295558;45,48495128;10,97209314
10880;29,81673;40,63814;10,03859;5,47659;0,57139;2,75663;1,94158;0,03908;4,04819;43,2342585;46,03748634;43,27304041;10,68947326
6680;29,46404;40,82338;10,83527;5,60278;0,60123;2,72348;2,0195;0,0488;3,76764;42,722858;45,26613201;43,25357887;11,48028913
8660;26,38869;42,16456;11,47485;5,23444;0,54499;2,65359;1,72116;0,04378;3,67452;38,2636005;41,63476288;45,8794111;12,48582602
3090;18,98672;46,28642;12,87071;5,05042;0,94508;2,7575;1,79382;0,04432;3,59626;27,530744;31,75847178;53,3943421;14,84718612
2210;18,9639;46,73461;13,56326;5,01469;0,97291;2,78174;1,79694;0,04078;3,44568;27,497655;31,32010999;53,23119829;15,44869172
5660;20,15189;44,93995;12,5672;4,60787;0,89343;2,79174;1,66047;0,04635;3,57597;29,2202405;33,69205545;51,81748204;14,4904625
2070;22,57734;43,01659;14,12334;6,28819;1,02767;2,55511;1,71542;0,03437;3,04578;32,737143;36,42435374;47,86158312;15,71406314
2100;20,79639;44,98877;12,38227;4,63614;0,82422;2,78432;1,6173;0,04715;3,63332;30,1547655;34,45242843;51,40057808;14,14699348
5760;20,20894;44,94881;12,54774;4,71484;0,86769;2,77045;1,65792;0,05061;3,58222;29,302963;33,75936337;51,78463386;14,45600277
2070;19,12908;44,85978;12,50286;4,91826;0,87931;2,77087;1,69015;0,04624;3,58796;27,737166;32,59368887;52,71431524;14,69199589
5700;21,0732;44,30302;12,5872;4,6041;0,8823;2,74747;1,6069;0,04202;3,51969;30,55614;34,94272375;50,66308077;14,39419548
5650;21,62111;43,7237;13,61091;5,43781;0,92839;2,6386;1,69582;0,04785;3,2124;31,3506095;35,35043345;49,30212751;15,34743904
4930;20,52348;44,93936;12,90823;4,60162;0,91248;2,75432;1,6891;0,04912;3,48145;29,759046;33,96894044;51,29675336;14,7343062
5510;21,5037;44,04465;12,94696;4,83042;0,8952;2,70482;1,64664;0,04963;3,40193;31,180365;35,36312417;49,95311719;14,68375864
5220;20,96996;42,4448;12,35598;5,14043;0,88584;2,66512;1,55926;0,04431;3,43516;30,406442;35,68528733;49,81361791;14,50109475
5930;22,47415;43,15115;12,65306;5,08155;1,21295;2,77128;1,82841;0,04486;3,41033;32,5875175;36,86715762;48,81808651;14,31475587
5360;23,54071;46,10309;11,95766;5,34384;0,75886;2,4638;1,93618;0,05399;3,85553;34,1340295;37,02382031;50,00618283;12,96999685
5150;24,55092;42,88509;5,53033;2,46907;0,32653;2,94372;0,77064;0,01917;7,75452;35,598834;42,3723741;51,04501672;6,582609184
5560;23,72857;45,93048;11,81247;5,59738;0,77828;2,4615;1,97012;0,05289;3,88831;34,4064265;37,33766609;49,84350599;12,81882792
4720;22,96237;43,32494;12,3267;5,32334;1,1217;2,76865;1,86129;0,03593;3,51472;33,2954365;37,43286211;48,70867229;13,8584656
4700;23,63532;46,57307;11,71135;5,51158;0,81633;2,46931;1,86957;0,05037;3,97674;34,271214;37,02769083;50,31900057;12,6533086
5310;27,43907;40,59389;10,7052;4,75662;1,43115;2,68241;1,73761;0,05156;3,79198;39,7866515;43,68043872;44,56667897;11,75288231
4910;25,37465;46,96157;9,86392;5,01938;0,92182;2,34793;1,4753;0,04898;4,76095;36,7932425;39,30115429;50,16257831;10,53626741
4980;27,42715;40,73689;11,07877;5,04094;1,49111;2,66384;1,79936;0,04673;3,67702;39,7693675;43,42343785;44,4798578;12,09670434
4830;24,823;45,5074;10,48065;4,69783;0,62562;2,67008;1,89608;0,04448;4,34204;35,99335;39,13111781;49,47456768;11,3943145
4630;22,87652;43,85001;14,95728;5,14201;0,62898;2,57239;2,06453;0,0456;2,93168;33,170954;36,06391311;47,67432829;16,2617586
5820;24,73737;43,35892;13,30961;5,02839;0,52464;2,53134;1,96567;0,04378;3,25772;35,8691865;38,761694;46,85540301;14,382903
3810;24,13207;44,04828;10,86389;4,88963;0,53427;2,53991;2,02627;0,04976;4,05456;34,9915015;38,92110402;48,99497347;12,08392251
5670;27,61674;40,53806;12,00653;4,78057;0,37;2,41787;1,81549;0,04782;3,37633;40,044273;43,24955691;43,78286836;12,96757473
5820;22,50476;44,20937;14,63248;5,24129;0,49536;2,5284;1,97878;0,04739;3,02132;32,631902;35,6735143;48,33011551;15,99637019
4670;24,36398;44,47414;10,22603;5,34391;0,46934;2,51054;2,111;0,04428;4,34911;35,327771;39,24089633;49,40037449;11,35872917
5660;24,4179;42,94736;14,16175;4,90333;0,45871;2,49556;1,93324;0,0411;3,03263;35,405955;38,27047519;46,42201786;15,30750694
4690;24,33982;45,1311;10,33398;5,10831;0,49316;2,53735;2,12257;0,03985;4,36725;35,292739;38,88672005;49,72695521;11,38632474
4770;22,71781;44,34706;14,62865;4,92375;0,45999;2,54369;1,96195;0,05148;3,03152;32,9408245;35,83775724;48,24709748;15,91514528
3950;24,52839;44,69048;9,97503;4,95595;0,42336;2,51777;2,05254;0,05101;4,48024;35,5661655;39,41649682;49,52859376;11,05490943
4240;22,64156;43,70605;13,29;5,18737;0,47486;2,49415;1,96973;0,04652;3,28864;32,830262;36,54860282;48,65617771;14,79521947
5130;23,79848;44,23399;11,04789;4,9104;0,47653;2,52399;2,01893;0,05121;4,00384;34,507796;38,43180813;49,26400447;12,3041874
3720;24,26588;44,31056;10,19026;5,36793;0,43804;2,50096;2,07375;0,04139;4,34832;35,185526;39,23175329;49,40613814;11,36210856
3590;23,92703;43,69025;9,93704;4,86127;0,43;2,50441;2,06077;0,04281;4,39671;34,6941935;39,28171508;49,46729637;11,25098855
3610;22,91692;43,16436;12,22228;5,22446;0,46459;2,50377;1,94006;0,04439;3,53161;33,229534;37,49827204;48,70934735;13,79238061
3780;22,24319;42,43971;12,77973;5,05207;0,44821;2,4945;1,84889;0,04661;3,32086;32,2526255;36,87191484;48,51801516;14,61007
3670;23,65303;42,53399;9,63176;5,1783;0,4046;2,46149;1,9728;0,04745;4,41602;34,2968935;39,66671861;49,19348782;11,13979357
3750;23,51287;43,41449;10,91354;5,08297;0,4114;2,50168;1,94724;0,0457;3,97804;34,0936615;38,55802906;49,09936608;12,34260487
5800;28,45182;43,72531;9,97664;5,02843;0,51482;2,47239;1,87471;0,04372;4,38277;41,255139;43,44608647;46,04744149;10,50647203
4100;28,47196;44,03153;10,05105;5,36226;0,53188;2,47959;1,90555;0,04693;4,38079;41,284342;43,29000154;46,17065234;10,53934613
2680;22,74883;44,6722;14,45679;5,20356;0,46183;2,52059;2,01115;0,04124;3,09005;32,9858035;35,8094528;48,4962277;15,6943195
4930;28,66288;40,45504;10,71652;4,57226;1,03385;2,37296;1,44543;0,04963;3,77502;41,561176;44,81823549;43,62541401;11,5563505
4020;28,18126;43,88331;10,2972;5,61823;0,56712;2,46315;1,9245;0,04682;4,26167;40,862827;42,9938892;46,17189525;10,83421555
1880;30,04361;37,71631;14,72926;4,60359;0,86302;2,27586;1,62184;0,0517;2,56064;43,5632345;45,37420784;39,28422002;15,34157214
5010;24,12868;43,78206;10,56409;3,97675;0,44753;2,50179;1,52302;0,04875;4,14442;34,986586;39,16435068;49,01009637;11,82555295
2320;28,2708;43,95792;10,36673;5,51913;0,58951;2,46951;1,91423;0,04366;4,24029;40,99266;43,00652211;46,11745757;10,87602032
2390;30,57813;40,14772;10,48855;5,09836;1,0439;2,35567;1,70996;0,05252;3,82776;44,3382885;46,68438496;42,27207858;11,04353646
1890;29,09943;39,96476;11,13536;4,82914;0,9678;2,3548;1,63949;0,05489;3,589;42,1941735;45,22696075;42,83730387;11,93573538
5020;27,94624;39,45716;10,0629;4,49874;0,76258;2,36892;1,61561;0,05086;3,92105;40,522048;45,00344217;43,8207866;11,17577123
6280;24,71451;42,1222;11,39933;4,93502;0,7211;2,52305;1,70445;0,05228;3,69515;35,8360395;40,10408934;47,13892761;12,75698306
5670;29,13723;40,24892;11,33916;4,7376;0,98531;2,35161;1,63336;0,05516;3,54955;42,2489835;45,02376985;42,89234818;12,08388197
6480;23,30026;43,00516;12,35786;5,28796;0,66716;2,52258;1,72638;0,04301;3,47998;33,785377;37,89790746;48,23997004;13,8621225
6620;22,48072;43,24714;11,85644;5,13266;0,77248;2,61806;1,61294;0,04361;3,64756;32,597044;37,16854284;49,3122375;13,51921966
3560;29,03761;40,15471;11,31181;4,89313;1,00538;2,3597;1,66431;0,06097;3,5498;42,1045345;44,99739233;42,91360209;12,08900558
